COUNTRY,CUSTOMER_NBR,MATERIAL_NBR,MONTH_YEAR,QUANTITY,UNIT
IN42,1045,1-00S764-L84-220-120,2021-09,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-10,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-11,0.0,EA
IN42,1045,1-00S764-L84-220-120,2021-12,36.0,EA
IN42,1045,1-00S764-L84-220-120,2022-01,0.0,EA
IN42,1045,1-00S764-L84-220-120,2022-02,0.0,EA
IN42,1045,1-00S764-L84-220-120,2022-03,0.0,EA
IN42,1045,1-00S764-L84-220-120,2022-04,0.0,EA
IN42,1045,1-00S764-L84-240-140,2019-05,1312.0,EA
IN42,1045,1-00S764-L84-240-140,2019-06,320.0,EA
IN42,1045,1-00S764-L84-240-140,2019-07,1504.0,EA
IN42,1045,1-00S764-L84-240-140,2019-08,1376.0,EA
IN42,1045,1-00S764-L84-240-140,2019-09,384.0,EA
IN42,1045,1-00S764-L84-240-140,2019-10,1728.0,EA
IN42,1045,1-00S764-L84-240-140,2019-11,928.0,EA
IN42,1045,1-00S764-L84-240-140,2019-12,1696.0,EA
IN42,1045,1-00S764-L84-240-140,2020-01,1280.0,EA
IN42,1045,1-00S764-L84-240-140,2020-02,1440.0,EA
IN42,1045,1-00S764-L84-240-140,2020-03,1056.0,EA
IN42,1045,1-00S764-L84-240-140,2020-04,480.0,EA
IN42,1045,1-00S764-L84-240-140,2020-05,960.0,EA
IN42,1045,1-00S764-L84-240-140,2020-06,864.0,EA
IN42,1045,1-00S764-L84-240-140,2020-07,1024.0,EA
IN42,1045,1-00S764-L84-240-140,2020-08,1312.0,EA
IN42,1045,1-00S764-L84-240-140,2020-09,1056.0,EA
IN42,1045,1-00S764-L84-240-140,2020-10,2016.0,EA
IN42,1045,1-00S764-L84-240-140,2020-11,256.0,EA
IN42,1045,1-00S764-L84-240-140,2020-12,32.0,EA
IN42,1045,1-00S764-L84-240-140,2021-01,1152.0,EA
IN42,1045,1-00S764-L84-240-140,2021-02,32.0,EA
IN42,1045,1-00S764-L84-240-140,2021-03,128.0,EA
IN42,1045,1-00S764-L84-240-140,2021-04,1472.0,EA
IN42,1045,1-00S764-L84-240-140,2021-05,2368.0,EA
IN42,1045,1-00S764-L84-240-140,2021-06,640.0,EA
IN42,1045,1-00S764-L84-240-140,2021-07,0.0,EA
IN42,1045,1-00S764-L84-240-140,2021-08,1632.0,EA
IN42,1045,1-00S764-L84-240-140,2021-09,108.0,EA
IN42,1045,1-00S764-L84-240-140,2021-10,44.0,EA
IN42,1045,1-00S764-L84-240-140,2021-11,128.0,EA
IN42,1045,1-00S764-L84-240-140,2021-12,510.0,EA
IN42,1045,1-00S764-L84-240-140,2022-01,1504.0,EA
IN42,1045,1-00S764-L84-240-140,2022-02,992.0,EA
IN42,1045,1-00S764-L84-240-140,2022-03,1952.0,EA
IN42,1045,1-00S764-L84-240-140,2022-04,0.0,EA
IN42,1045,1-00S766-L84-140-140,2019-01,48720.0,EA
IN42,1045,1-00S766-L84-140-140,2019-02,41952.0,EA
IN42,1045,1-00S766-L84-140-140,2019-03,5304.0,EA
IN42,1045,1-00S766-L84-140-140,2019-04,61896.0,EA
IN42,1045,1-00S766-L84-140-140,2019-05,,EA
IN42,1045,1-00S766-L84-140-140,2019-06,34440.0,EA
IN42,1045,1-00S766-L84-140-140,2019-07,46824.0,EA
IN42,1045,1-00S766-L84-140-140,2019-08,28721.0,EA
IN42,1045,1-00S766-L84-140-140,2019-09,16443.0,EA
IN42,1045,1-00S766-L84-140-140,2019-10,52660.0,EA
IN42,1045,1-00S766-L84-140-140,2019-11,46640.0,EA
IN42,1045,1-00S766-L84-140-140,2019-12,36769.0,EA
IN42,1045,1-00S766-L84-140-140,2020-01,54627.0,EA
IN42,1045,1-00S766-L84-140-140,2020-02,27144.0,EA
IN42,1045,1-00S766-L84-140-140,2020-03,34945.0,EA
IN42,1045,1-00S766-L84-140-140,2020-04,40104.0,EA
IN42,1045,1-00S766-L84-140-140,2020-05,33360.0,EA
IN42,1045,1-00S766-L84-140-140,2020-06,13680.0,EA
IN42,1045,1-00S766-L84-140-140,2020-07,14328.0,EA
IN42,1045,1-00S766-L84-140-140,2020-08,42624.0,EA
IN42,1045,1-00S766-L84-140-140,2020-09,36936.0,EA
IN42,1045,1-00S766-L84-140-140,2020-10,44376.0,EA
IN42,1045,1-00S766-L84-140-140,2020-11,45438.0,EA
IN42,1045,1-00S766-L84-140-140,2020-12,55771.0,EA
IN42,1045,1-00S766-L84-140-140,2021-01,55717.0,EA
IN42,1045,1-00S766-L84-140-140,2021-02,60410.0,EA
IN42,1045,1-00S766-L84-140-140,2021-03,84312.0,EA
IN42,1045,1-00S766-L84-140-140,2021-04,46992.0,EA
IN42,1045,1-00S766-L84-140-140,2021-05,33960.0,EA
IN42,1045,1-00S766-L84-140-140,2021-06,46872.0,EA
IN42,1045,1-00S766-L84-140-140,2021-07,43368.0,EA
IN42,1045,1-00S766-L84-140-140,2021-08,29376.0,EA
IN42,1045,1-00S766-L84-140-140,2021-09,47879.0,EA
IN42,1045,1-00S766-L84-140-140,2021-10,55512.0,EA
IN42,1045,1-00S766-L84-140-140,2021-11,40104.0,EA
IN42,1045,1-00S766-L84-140-140,2021-12,35136.0,EA
IN42,1045,1-00S766-L84-140-140,2022-01,114432.0,EA
IN42,1045,1-00S766-L84-140-140,2022-02,71112.0,EA
IN42,1045,1-00S766-L84-140-140,2022-03,70461.0,EA
IN42,1045,1-00S766-L84-140-140,2022-04,0.0,EA
IN42,1045,1-00S766-L84-220-120,2019-01,504.0,EA
IN42,1045,1-00S766-L84-220-120,2019-02,432.0,EA
IN42,1045,1-00S766-L84-220-120,2019-03,360.0,EA
IN42,1045,1-00S766-L84-220-120,2019-04,612.0,EA
IN42,1045,1-00S766-L84-220-120,2019-05,504.0,EA
IN42,1045,1-00S766-L84-220-120,2019-06,936.0,EA
IN42,1045,1-00S766-L84-220-120,2019-07,684.0,EA
IN42,1045,1-00S766-L84-220-120,2019-08,756.0,EA
IN42,1045,1-00S766-L84-220-120,2019-09,252.0,EA
IN42,1045,1-00S766-L84-220-120,2019-10,576.0,EA
IN42,1045,1-00S766-L84-220-120,2019-11,612.0,EA
IN42,1045,1-00S766-L84-220-120,2019-12,288.0,EA
IN42,1045,1-00S766-L84-220-120,2020-01,1368.0,EA
IN42,1045,1-00S766-L84-220-120,2020-02,216.0,EA
IN42,1045,1-00S766-L84-220-120,2020-03,612.0,EA
IN42,1045,1-00S766-L84-220-120,2020-04,360.0,EA
IN42,1045,1-00S766-L84-220-120,2020-05,1152.0,EA
